Fighters Name,Weight (lbs),Height (cm),Reach (cm),SLpM,Str.Acc,SApM,Str.Def,Td.Avg,Td.Acc,Td.Def,Avg.Sub,W.KO,W.Sub,W.Dec,L.Sub,L.Dec,L.KO,KD.Ratio,Str.Stand,Str.Clinch,Str.Ground,Str.Head,Str.Body,Str.Leg,Avg.Fight Time,Type
Gilbert Melendez,155,175,185,3.43,0.23,4.99,0.52,1.41,0.26,0.61,0.1,0.55,0,0.45,0.13,0.88,0,0,0.63,0.08,0.3,0.75,0.19,0.05,13:10,MMA
Niko Price,170,182,193,2.99,0.22,4.37,0.4,1.18,0.17,0.53,1.46,0.71,0.21,0.07,0.33,0,0.67,0.97,0.68,0.13,0.19,0.64,0.15,0.21,05:48,MMA
Ovince St Preux,205,190,203,2.54,0.32,3.41,0.32,1.24,0.22,0.54,0.54,0.46,0.33,0.21,0.23,0.62,0.15,0.24,0.74,0.12,0.14,0.68,0.22,0.1,09:15,MMA
Nikita Krylov,205,190,195,4.7,0.46,2.45,0.31,1.23,0.38,0.4,1.75,0.41,0.56,0.04,0.71,0.14,0.14,0.63,0.48,0.35,0.17,0.61,0.24,0.15,05:55,MMA
Diego Ferreira,155,175,187,4.88,0.25,3.07,0.48,0.87,0.14,0.57,1.08,0.18,0.41,0.41,0,0.5,0.5,0.46,0.7,0.1,0.2,0.69,0.21,0.1,08:05,MMA
Gabriel Benitez,145,172,180,4.27,0.29,2.76,0.62,0.22,1,0.56,1.55,0.33,0.48,0.19,0.29,0.43,0.29,0.46,0.89,0.03,0.08,0.55,0.24,0.21,9.23,MMA
Brian Ortega,145,175,175,4.07,0.22,7.36,0.37,0.51,9.36,0.56,1.38,0.21,0.5,0.29,0,0,1,0.51,0.87,0.08,0.05,0.78,0.18,0.04,11:01,MMA
Joseph Duffy,155,177,185,2.56,0.33,3.63,0.55,0.75,0.6,0.64,0.77,0.25,0.63,0.13,0.25,0.5,0.25,0.5,0.84,0.08,0.08,0.68,0.2,0.12,08:37,MMA
Gegard Mousasi,185,187,193,3.81,0.5,1.98,0.57,1.35,0.42,0.47,0.73,0.57,0.26,0.17,0.43,0.43,0.14,0.25,0.65,0.11,0.23,0.71,0.1,0.18,10:01,MMA
Li Jingliang,170,182,180,4.76,0.3,3.61,0.47,1.23,0.22,0.49,0,0.41,0.29,0.29,0.17,0.83,0,0.63,0.85,0.04,0.11,0.61,0.1,0.28,10:45,MMA
Neil Magny,170,190,203,3.89,0.46,2.18,0.57,2.66,0.47,0.47,0.31,0.32,0.14,0.55,0.57,0.14,0.29,0.13,0.54,0.18,0.28,0.72,0.17,0.11,11:44,Grappler
Kelvin Gastelum,185,175,180,3.8,0.31,2.94,0.48,0.81,0.33,0.51,0.14,0.44,0.25,0.31,0.2,0.8,0,0.82,0.78,0.11,0.1,0.7,0.18,0.12,11:47,MMA
Stipe Miocic,240,193,203,4.85,0.52,3.32,0.49,2.29,0.26,0.64,0,0.79,0,0.21,0,0.33,0.67,0.5,0.66,0.12,0.23,0.77,0.1,0.13,10:05,MMA
