Fighters Name,Weight (lbs),Height (cm),Reach (cm),SLpM,Str.Acc,SApM,Str.Def,Td.Avg,Td.Acc,Td.Def,Avg.Sub,W.KO,W.Sub,W.Dec,L.Sub,L.Dec,L.KO,KD.Ratio,Str.Stand,Str.Clinch,Str.Ground,Str.Head,Str.Body,Str.Leg,Avg.Fight Time,Type
Michael Bisping ,185,185,190,4.29,0.38,2.75,0.65,1.07,0.43,0.63,0.21,0.57,0.1,0.33,0.22,0.44,0.34,0.33,0.81,0.1,0.09,0.72,0.12,0.16,12:36:00,Striker
Shamil Abdurakhimov,235,191,193,2.44,0.46,2.24,0.6,1.5,0.27,0.67,0.21,0.45,0.2,0.35,0.2,0.2,0.6,0.21,0.58,0.29,0.13,0.61,0.16,0.23,11:41:00,MMA
Ricardo Abreu,185,180,185,3.79,0.32,3.98,0.68,2.13,0.43,1,0.71,0.6,0.4,0,0,1,0,1.42,0.73,0.16,0.11,0.81,0.13,0.06,10:33:00,Grappler
Kildson Abreu,205,187,187,1.53,0.37,2,0.55,0.67,0.2,0.8,1,0.27,0.67,0.07,0,0.5,0.5,0,0.7,0.3,0,0.43,0.35,0.22,15:00:00,Grappler
Juan Adams,265,196,203,6.17,0.51,4.67,0.35,1.05,0.67,0.57,0,1,0,0,0,0.33,0.67,0.7,0.55,0.25,0.2,0.77,0.18,0.06,07:11:00,Striker
Jessica Aguilar,115,160,160,4.93,0.51,0.54,7.19,0.94,0.25,0.5,0.24,0.15,0.35,0.5,0.25,0.75,0,0,0.62,0.31,0.07,0.54,0.28,0.18,12:44:00,MMA
Omari Akhmedov,185,183,185,2.99,0.34,2.77,0.58,2.4,0.5,0.63,0.21,0.37,0.25,0.37,0.5,0,0.5,0.21,0.74,0.13,0.13,0.69,0.18,0.13,11:57:00,Grappler
Iuri Alcantara,135,175,180,2.72,0.46,2.79,0.49,1.44,0.63,0.6,0.84,0.42,0.39,0.19,0.2,0.6,0.2,0.42,0.63,0.09,0.28,0.65,0.27,0.08,09:21:00,MMA
Irene Aldana,135,175,174,5.84,0.39,6.26,0.61,0.34,0.5,0.93,0.17,0.46,0.27,0.27,0,0.6,0.4,0,0.88,0.08,0.04,0.71,0.11,0.18,14:44:00,Striker
JJ Aldrich,125,165,171,3.65,0.39,4.22,0.62,0.22,0.17,0.58,0,0.25,0,0.75,0.25,0.5,0.25,0,0.79,0.18,0.03,0.77,0.14,0.09,13:36:00,Striker
Abdul Razak Alhassan,170,178,185,4.45,0.47,4.45,0.59,0.61,0.33,0.53,0,1,0,0,0,1,0,3.64,0.79,0.18,0.03,0.85,0.07,0.08,04:57:00,Striker
Arnold Allen,145,173,178,3.19,0.41,2,0.68,1.36,0.53,0.76,0.45,0.31,0.25,0.44,0,1,0,0.3,0.87,0.03,0.1,0.74,0.2,0.06,14:12:00,MMA
Thomas Almeida,135,170,178,5.66,0.46,4.65,0.65,0,0,0.75,0,0.81,0.14,0.05,0,0.33,0.67,0.74,0.89,0.11,0,0.63,0.17,0.19,07:38:00,Striker
Eddie Alvarez,155,175,175,4.5,0.41,6.35,0.56,2.02,0.26,0.93,0.17,0.58,0.23,0.19,0.44,0.12,0.44,0.17,0.78,0.18,0.04,0.66,0.25,0.09,11:07:00,MMA
Thiago Alves,170,175,178,3.71,0.42,3.36,0.62,0.7,0.65,0.63,0.32,0.46,0.04,0.5,0.33,0.47,0.2,0.7,0.77,0.12,0.11,0.52,0.14,0.35,11:10:00,Striker
Warlley Alves,170,180,183,3.16,0.47,3.75,0.51,1.06,0.44,0.8,0.8,0.21,0.5,0.29,0.25,0.5,0.25,0.27,0.76,0.17,0.07,0.57,0.24,0.07,11:16:00,Grappler
